SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,SCHOOL_NUMBER,AB_STUDENT_IN_AB_PROGRAM,ELL,FRENCH_PROGRAM,CORE_FRENCH,FRENCH_IMMERSION,PROGRAMME_FRANCOPHONE,CAREER_PREPARATION,CAREER_TECH_CENTRE,CONTINUING_ED_PROGRAM,COOP,DIST_LEARNING,APPRENTICESHIP
2012/2013,PROVINCE LEVEL,BC Independent School,,,391,3418,39610,39158,452,,6,,22,,8995,45
2013/2014,PROVINCE LEVEL,BC Independent School,,,719,3415,39055,38612,441,2,110,,24,,9646,
2014/2015,PROVINCE LEVEL,BC Independent School,,,910,3566,41437,40882,552,3,52,4,19,,10216,
2015/2016,PROVINCE LEVEL,BC Independent School,,,907,3586,41937,41388,546,3,18,,19,,10268,
2016/2017,PROVINCE LEVEL,BC Independent School,,,951,3484,42377,41812,562,3,49,,10,,10219,
2012/2013,PROVINCE LEVEL,BC Public School,,,55125,61296,231534,178921,47857,4763,15989,1815,13370,842,41896,563
2013/2014,PROVINCE LEVEL,BC Public School,,,55944,61395,229999,175464,49451,5088,15502,1799,12554,781,40484,569
2014/2015,PROVINCE LEVEL,BC Public School,,,55693,61080,227668,171967,50308,5402,14422,2072,10096,553,38675,428
2015/2016,PROVINCE LEVEL,BC Public School,,,57317,63093,231212,173124,52545,5550,11279,2009,8474,491,29912,427
2016/2017,PROVINCE LEVEL,BC Public School,,,58434,62801,232142,173224,53206,5723,7808,2052,8054,439,27469,454
2012/2013,PROVINCE LEVEL,PROVINCE - Total,,,55516,64714,271144,218079,48309,4763,15995,1815,13392,842,50891,608
2013/2014,PROVINCE LEVEL,PROVINCE - Total,,,56663,64810,269054,214076,49892,5090,15612,1799,12578,781,50130,569
2014/2015,PROVINCE LEVEL,PROVINCE - Total,,,56603,64646,269105,212849,50860,5405,14474,2076,10115,553,48891,428
2015/2016,PROVINCE LEVEL,PROVINCE - Total,,,58224,66679,273149,214512,53091,5553,11297,2009,8493,491,40180,427
2016/2017,PROVINCE LEVEL,PROVINCE - Total,,,59385,66285,274519,215036,53768,5726,7857,2052,8064,439,37688,454
2012/2013,DISTRICT LEVEL,BC Public School,5,,692,24,1981,1545,436,1,72,16,,,399,
2012/2013,DISTRICT LEVEL,BC Public School,6,,523,55,1247,1070,176,1,13,9,4,,194,1
2012/2013,DISTRICT LEVEL,BC Public School,8,,655,34,1970,1694,277,,,41,,,1135,3
2012/2013,DISTRICT LEVEL,BC Public School,10,,65,,229,228,,1,,,,,38,
2012/2013,DISTRICT LEVEL,BC Public School,19,,118,12,427,427,,,18,14,,,55,
2012/2013,DISTRICT LEVEL,BC Public School,20,,296,24,1503,1332,171,,270,,35,,53,
2012/2013,DISTRICT LEVEL,BC Public School,22,,1032,54,3488,2446,1042,,,28,74,,332,8
2012/2013,DISTRICT LEVEL,BC Public School,23,,2239,352,8975,6818,2157,,3266,216,7,,994,3
2012/2013,DISTRICT LEVEL,BC Public School,27,,1356,307,1930,1630,300,,,8,81,,183,2
2012/2013,DISTRICT LEVEL,BC Public School,28,,830,139,1302,1104,198,,309,,198,,86,
2012/2013,DISTRICT LEVEL,BC Public School,33,,1892,521,4113,3645,467,1,468,39,132,14,1432,40
2012/2013,DISTRICT LEVEL,BC Public School,34,,1929,2122,7404,6197,1207,,120,14,17,,1149,20
2012/2013,DISTRICT LEVEL,BC Public School,35,,1695,912,7934,6525,1409,,9,92,553,,896,5
2012/2013,DISTRICT LEVEL,BC Public School,36,,3060,15157,27909,24738,3170,1,2262,211,1861,650,4634,23
2012/2013,DISTRICT LEVEL,BC Public School,37,,536,1718,7457,5451,2006,,350,55,209,40,555,14
2012/2013,DISTRICT LEVEL,BC Public School,38,,215,6128,9861,7619,2242,1,493,,612,,993,67
2012/2013,DISTRICT LEVEL,BC Public School,39,,1959,11177,23017,18052,4962,3,2240,55,4197,,3106,8
2012/2013,DISTRICT LEVEL,BC Public School,40,,352,816,2580,1608,972,,46,30,1060,,547,3
2012/2013,DISTRICT LEVEL,BC Public School,41,,709,4827,10184,8098,2086,,2660,98,808,,1353,5
2012/2013,DISTRICT LEVEL,BC Public School,42,,1111,331,6538,5106,1431,2,318,124,467,,338,
2012/2013,DISTRICT LEVEL,BC Public School,43,,1173,4846,13711,10454,3258,,673,96,1076,,2552,63
2012/2013,DISTRICT LEVEL,BC Public School,44,,564,797,7392,4999,2393,,352,1,111,31,340,4
2012/2013,DISTRICT LEVEL,BC Public School,45,,47,791,3178,2271,907,,363,,,,258,6
2012/2013,DISTRICT LEVEL,BC Public School,46,,481,101,1164,1164,,,,,,,232,
2012/2013,DISTRICT LEVEL,BC Public School,47,,303,8,651,597,54,,69,,,,197,
2012/2013,DISTRICT LEVEL,BC Public School,48,,591,372,1704,1261,443,,44,16,,,182,2
2012/2013,DISTRICT LEVEL,BC Public School,49,,123,,43,43,,,,,,,2,
2012/2013,DISTRICT LEVEL,BC Public School,50,,369,33,163,146,17,,,,,,2,
